Index 2:  spiewak 
Index 3:  Borysow 
Index 8:  Wytrwal 
Index 9:  Szymura 
Index 11:  Kostosz 
Index 16:  Sztonyk 
Index 27:  Szyszko 
Index 29:  Adamecki 
Index 30:  Niedbala 
Index 34:  Kanciala Ciebiera Ciemiega 
Index 38:  Barbucha 
Index 40:  Banasiak Bacalski Michalak 
Index 42:  Bednarek 
Index 47:  Bialczak 
Index 49:  Berakacz Bajinska 
Index 50:  Afganski 
Index 52:  Galiczak 
Index 53:  Dartcjan Bareczek 
Index 54:  Grodecki Bakalarz Basajski 
Index 55:  Glowacka 
Index 57:  Baranski 
Index 59:  Felerska Lisiecki 
Index 61:  Banaszek Kaminska 
Index 63:  Cichowas 
Index 64:  Machlarz Kornacki 
Index 65:  Balonski Terlecki Wojcicki Koniecko 
Index 66:  Bawarski Adamczyk Basinski Malarski Zalesiak 
Index 67:  Kasinska Antoniak Chodyrak Felinski 
Index 68:  Nawrocka Benedykt Dziedzic Lewanska 
Index 69:  Kaminski Kacprzak Liderski 
Index 73:  Majewski Bakowski Majksner Pilsniak 
Index 74:  Jasinski Bydgoski Balowski Twardoch 
Index 75:  Furmanik Lubaszka Kowalska Jugowiec 
Index 77:  Kludziak Bartosik Urbanski Lelewicz Sierpien 
Index 78:  Olendzki Listopad 
Index 79:  Semeniuk Holownia 
Index 80:  Witebski Jaworska 
Index 81:  Lipinski Kosinska Kopernik 
Index 82:  Sasimski Krynicki Figurski 
Index 83:  Kowalski Janowicz Sadowski Zawadzki Niziolek Tegowska 
Index 84:  Janowski Lisinski 
Index 85:  Boronski Stuchlik Zawodnik Walewski Broniarz 
Index 86:  Pigulski Grudzien Sekowska 
Index 87:  Zalewicz Bokowski 
Index 88:  Jaworski Zalewski 
Index 89:  Szczepka Rakowski 
Index 90:  Katowicz 
Index 92:  Rydawski Mironiuk 
Index 93:  Symanski Sikorski 
Index 95:  Dukowski 
Index 96:  Hubertus smietana 
Index 98:  Piwonski 
Index 100:  Gumowski Pszczola Krawczyk 
Index 101:  Wrzesien 
Index 102:  Szumilas 
Index 104:  Kotowicz Malyszko 
Index 105:  Streziok 
Index 106:  Szymczak Sycowski 
Index 107:  Nosowski Sosnierz 
Index 109:  Wypychlo 
Index 117:  Duszczyk Zukowski 
Index 120:  Szewczyk 
Index 134:  Adamiecki 
Index 147:  Adameczek 
Index 149:  zukowski 
Index 151:  Domagalik Biegajski Kazanecka 
Index 152:  Chojnacki 
Index 158:  Chocholek Chmielacz 
Index 159:  Checinski 
Index 160:  Czarnecka 
Index 163:  Jablonska Michalski Adalewski Niedziela 
Index 164:  Chlopicki 
Index 167:  Kaczmarek 
Index 168:  Czarnecki Polanicki 
Index 169:  Ratajczak Bielawski 
Index 170:  Radwanska Fastnacht 
